,CAGR,AnnVol,Sharpe,Alpha(ann),Beta,MaxDD,Calmar
BENCH,0.09479067575104105,0.14945953863879427,0.6342229918167086,0.0,1.0,-0.5078480458066028,0.1866516501023201
EW_LIVE,0.1624854285641133,0.16709452881448167,0.9724162108534046,0.05742221714730755,1.0721874043223265,-0.4726954102517593,0.3437423445206988
MAX_SHARPE_NET,0.18554327194635056,0.1670313926149631,1.1108287432773827,0.10386014469464788,0.8430004492529823,-0.4927205570172484,0.3765689685641741
MIN_VAR_NET,0.16355837525095596,0.1540287489530039,1.0618691404216993,0.08871927935328827,0.7732946050684042,-0.47710482309720204,0.3428143404403055
RISK_PARITY_NET,0.1754377712210844,0.1725024249588307,1.0170162608609952,0.08320739077447814,0.954696065822302,-0.5208638142444235,0.33682080886263577
MAX_RETURN_NET,0.31688407470532365,0.2752994083675062,1.1510525089189612,0.19963888830779264,1.2934033798972961,-0.592283105881456,0.5350212956584772
