,HHI,Top5Share,N_eff
2002-02-28,0.06689492731410242,0.4470365910033808,14.948816601661596
2002-03-31,0.0645804508307016,0.4378495559735422,15.484562079343663
2002-04-30,0.06740314587976487,0.4559156258537834,14.8361027804818
2002-05-31,0.05952406001598852,0.4029297047373415,16.799929301384918
2002-06-30,0.08580303062172023,0.5573957034659569,11.654599992029413
2002-07-31,0.09484120284500831,0.6283229580559934,10.543940502676069
2002-08-31,0.0872541379287902,0.568748643846881,11.460774511532271
2002-09-30,0.07582463957080164,0.5027028049423968,13.18832513626715
2002-10-31,0.06655970194669597,0.43202054798571243,15.02410573894765
2002-11-30,0.07503376915786773,0.5045306292249836,13.327332629339788
2002-12-31,0.05389392232923323,0.3401604139042607,18.55496792182035
2003-01-31,0.07132542401616082,0.46074260075043905,14.0202461295347
2003-02-28,0.07332967901339969,0.4611139941465428,13.637043192528742
2003-03-31,0.0862257412099049,0.5407601584195671,11.597464816981223
2003-04-30,0.0780721078700638,0.5085026884845545,12.808671717488531
2003-05-31,0.07080255579914903,0.466921439825757,14.123783932839595
2003-06-30,0.07339763391342914,0.4739260667193268,13.624417391703355
2003-07-31,0.07048023979671372,0.4667138232281397,14.188373973815947
2003-08-31,0.08659464321710104,0.5472264116688471,11.548058434664423
2003-09-30,0.08050461631215029,0.5012514552877217,12.421647922928779
2003-10-31,0.09494915470354837,0.6043273071049452,10.531952634251612
2003-11-30,0.0993296732767351,0.624465783807664,10.067485042601254
2003-12-31,0.0914144637292866,0.5888317922205959,10.93918794909069
2004-01-31,0.10029900423885639,0.6301915566470916,9.970188713125772
2004-02-29,0.08419527702596369,0.5417061193588625,11.877150777609835
2004-03-31,0.09322155259592538,0.5871724086360325,10.72713307334155
2004-04-30,0.07991447619143109,0.5093494609054586,12.513377396162248
2004-05-31,0.09168317557717506,0.5835630147519937,10.90712656607582
2004-06-30,0.07614544791703115,0.4901171508755734,13.132761410631009
2004-07-31,0.07824956227149532,0.5294448977802046,12.77962420454688
2004-08-31,0.07566738806486879,0.49524583332457683,13.21573303340022
2004-09-30,0.0931786924907568,0.5905962818408687,10.732067313556676
2004-10-31,0.08818258211759313,0.5376559943660163,11.340107944066338
2004-11-30,0.09295437910734992,0.5912929313077471,10.757965462231029
2004-12-31,0.07829553791566121,0.4996917405193542,12.77211992690037
2005-01-31,0.08939247569007168,0.5873309011302053,11.186623843678428
2005-02-28,0.09007116196209287,0.5812682305664252,11.102332624740175
2005-03-31,0.09110714442474613,0.5897934121385416,10.976087619846247
2005-04-30,0.08524704858066802,0.5350639887882278,11.730611401211325
2005-05-31,0.09197739676768929,0.571744439116476,10.872236387878393
2005-06-30,0.0997038106031641,0.6161254796565641,10.0297069284558
2005-07-31,0.08930289659290981,0.5589889352112037,11.197845066084842
2005-08-31,0.08613272423839208,0.5533460345650921,11.609989221196239
2005-09-30,0.08988120825184881,0.5800671467111452,11.125796141925257
2005-10-31,0.08332487982089598,0.5222980031738951,12.001217429289623
2005-11-30,0.07947985762158578,0.5324812798633252,12.581804118989915
2005-12-31,0.08290632690300112,0.5327260889751692,12.061805622747967
2006-01-31,0.07870492590664042,0.5106898232818353,12.705685044239765
2006-02-28,0.08239199279854627,0.5312760675799639,12.137101750227895
2006-03-31,0.0841453613541905,0.5291624802783403,11.884196394269798
2006-04-30,0.09407374241564914,0.5890692425042159,10.629958735793318
2006-05-31,0.08860003096003473,0.5583074168475364,11.286677771603433
2006-06-30,0.0800986013637304,0.5120582732786567,12.484612502270382
2006-07-31,0.0811249251252972,0.5200790875874806,12.32666777140938
2006-08-31,0.07671217767164429,0.49128270683791603,13.035739961396477
2006-09-30,0.07929703304404111,0.5021117815158899,12.610812304220838
2006-10-31,0.07395690414964759,0.4687052955719384,13.521388050215798
2006-11-30,0.08333154291463062,0.5236905858272001,12.000257825832586
2006-12-31,0.07639970330412266,0.4868136896924853,13.089056066347817
2007-01-31,0.07771024626777888,0.49196698179950527,12.868315930361831
2007-02-28,0.0914361042068239,0.5773068215187946,10.936598936215065
2007-03-31,0.07137160132059257,0.4588357371252527,14.011175054180462
2007-04-30,0.08268909997573647,0.5126163508356522,12.093492374368942
2007-05-31,0.0705598187287394,0.447615178566935,14.172372010257087
2007-06-30,0.08490531255067126,0.5296508537785957,11.77782602711936
2007-07-31,0.0738856040918769,0.4831487269948189,13.53443627200365
2007-08-31,0.07615774584834377,0.4860574257060951,13.130640736023667
2007-09-30,0.07919798879316395,0.5044698779659801,12.626583266042685
2007-10-31,0.08565103359446505,0.5408376760037176,11.675282340838233
2007-11-30,0.07877540461592511,0.49364410639261463,12.694317533189054
2007-12-31,0.09102747288629524,0.6055357663608993,10.985694409523218
2008-01-31,0.09374595958363849,0.6005228901349384,10.667126396074892
2008-02-29,0.0951317557709,0.5898294975463007,10.511737031409774
2008-03-31,0.09043963063941302,0.5626137977887831,11.05709955834568
2008-04-30,0.0984108160630377,0.5992076961418001,10.161484682328448
2008-05-31,0.08883947408494869,0.5679174641360222,11.25625753979358
2008-06-30,0.10170416292296043,0.6132116752488779,9.832439216450627
2008-07-31,0.10440954484723276,0.6198532731367833,9.577668415882417
2008-08-31,0.10373674815735409,0.6302361168523728,9.639785493209603
2008-09-30,0.09521183325317406,0.6045195291043048,10.502896182462312
2008-10-31,0.08412576772967945,0.5521804758313071,11.886964327187965
2008-11-30,0.08736729999043948,0.5726850580941454,11.44593000023383
2008-12-31,0.08124988727009555,0.5428879635799636,12.307709383961882
2009-01-31,0.09250298935035363,0.5611435600849161,10.810461445873015
