MgmtFee,FinalValue,MgmtFeesPaid,PerfFeesPaid,TotalFees
0.0,42118914.65308423,0.0,5419963.492629196,5419963.492629196
0.01,34793317.808568574,2229735.56822257,4402622.468598882,6632358.036821451
0.02,28690428.351206187,3870157.7347875666,3571761.6393896835,7441919.37417725
0.03,23643515.145371746,5045949.855394107,2893614.277593529,7939564.132987636
0.04,19472565.358734306,5857809.6507553095,2340238.3168611396,8198047.967616449
