Label,Start,End,Months,CAGR_Best,CAGR_SPY,TotRet_Best,TotRet_SPY,AnnVol_Best,AnnVol_SPY,Sharpe_Best,Sharpe_SPY,MaxDD_Best,MaxDD_SPY,WorstMo_Best,WorstMo_SPY,Terminal_Best_$,Terminal_SPY_$
Dot-com bust,2000-03-01,2002-10-31,9,-0.09451162729142082,-0.2689195816031643,-0.07175598342174072,-0.20936895428971314,0.1336374363867433,0.19690150012480054,-0.7072241869254855,-1.3657568958728965,-0.14974446031875843,-0.2800892704928515,-0.09556069679797763,-0.10485261935685886,928244.0165782593,790631.0457102868
GFC,2007-10-01,2009-03-31,18,-0.2850050151073745,-0.33655796532640314,-0.3954190016969217,-0.45961351798490535,0.21950120306254128,0.20688755787989876,-1.2984211982937042,-1.6267675483983428,-0.4927205570172484,-0.5078480458066028,-0.15238696274789357,-0.1651865591794237,604580.9983030783,540386.4820150946
COVID shock,2020-02-01,2020-04-30,3,-0.36327586906953935,-0.31972629910407946,-0.10671955402901656,-0.09182211876074442,0.29764770768366694,0.37950319399120896,-1.2204893896096136,-0.8424864511456148,-0.12577412454639914,-0.12487124089353463,-0.12577412454639914,-0.12487124089353452,893280.4459709835,908177.8812392555
2022 drawdown,2022-01-01,2022-10-31,10,-0.02300451119069813,-0.20895877463422208,-0.019207509450489657,-0.1774431351317911,0.276069791796457,0.22421743044382822,-0.08332860701999255,-0.9319470579098051,-0.16005906601062558,-0.20247015244266198,-0.10830841979613012,-0.09244597070630078,980792.4905495103,822556.8648682089
