Date,Best,SPY,Label
2002-02-28,1011794.3485280438,982063.8665079098,Dot-com bust
2002-03-31,1046861.3831980975,1014738.1609989576,Dot-com bust
2002-04-30,1091723.573981365,955725.4270157722,Dot-com bust
2002-05-31,1089114.0632133102,950054.2005448228,Dot-com bust
2002-06-30,1048198.936498048,879933.031892293,Dot-com bust
2002-07-31,948032.3157433954,810577.3868070457,Dot-com bust
2002-08-31,940052.7586453458,816090.0713563401,Dot-com bust
2002-09-30,931122.5136329249,730520.8897435019,Dot-com bust
2002-10-31,928244.0165782593,790631.0457102868,Dot-com bust
2007-10-31,5082113.318643592,1509618.0886248292,GFC
2007-11-30,4977675.484834089,1451147.1001850825,GFC
2007-12-31,4927043.075458074,1434806.470215378,GFC
2008-01-31,4717419.445800361,1348056.0733147739,GFC
2008-02-29,4457083.959752947,1313219.267012353,GFC
2008-03-31,4447581.660190223,1301475.7289991463,GFC
2008-04-30,4638808.4887607815,1363507.517018305,GFC
2008-05-31,4754759.843054797,1384118.9024906876,GFC
2008-06-30,4549207.71932589,1268439.9589267254,GFC
2008-07-31,4297131.019558835,1257041.782397937,GFC
2008-08-31,4276430.48467125,1276467.5861820881,GFC
2008-09-30,3770586.2997244466,1156258.1902496812,GFC
2008-10-31,3195998.1057306197,965259.878279309,GFC
2008-11-30,2937454.0330941947,898071.4752726057,GFC
2008-12-31,2939481.9546832186,906868.8365528426,GFC
2009-01-31,2794510.6620759363,832402.1637801462,GFC
2009-02-28,2578051.6134567447,742961.4924024107,GFC
2009-03-31,2734169.0650720405,804858.0259690623,GFC
2020-02-29,22920995.79467343,3720564.093196862,COVID shock
2020-03-31,20038127.614866685,3255972.638055442,COVID shock
2020-04-30,21666609.95463763,3669426.4743385026,COVID shock
2022-01-31,34584864.06020808,5832406.530180605,2022 drawdown
2022-02-28,34348903.56095692,5660251.003570357,2022 drawdown
2022-03-31,36219968.90888474,5873022.787308363,2022 drawdown
2022-04-30,33578600.59592765,5357551.746783697,2022 drawdown
2022-05-31,34021828.08696947,5369645.012681788,2022 drawdown
2022-06-30,30422634.514394745,4926862.896168966,2022 drawdown
2022-07-31,33755760.98268465,5380564.756473883,2022 drawdown
2022-08-31,34899603.95869478,5161027.131253055,2022 drawdown
2022-09-30,33591613.867813356,4683910.968262812,2022 drawdown
2022-10-31,38040703.4337729,5064598.71168314,2022 drawdown
