Fee,FinalValue,FeesPaid
0.0,77197773.62569343,0.0
0.01,61381495.38963615,3565088.9308597255
0.02,48796320.7172182,5988377.135137293
0.03,38784078.23283697,7561177.536538279
0.04,30820275.521582406,8506767.703064505
