Fee,FinalValue,FeesPaid
0.0,4291870.7197435,0.0
0.01,3342163.9236156647,484299.08849787695
0.02,2602065.552491265,836298.3099067367
0.03,2025433.268982809,1088393.946724593
0.04,1576255.856012937,1265390.577207638
